Identifier,Disease
DOID:0111533,gnathodiaphyseal dysplasia
DOID:0111532,osteoglophonic dysplasia
DOID:0111531,bilateral optic nerve hypoplasia
DOID:0111530,linear nevus sebaceous syndrome
DOID:0111537,paroxysmal extreme pain disorder
DOID:0111536,buschke-ollendorff syndrome
DOID:0111535,progressive osseous heteroplasia
DOID:0111534,multicentric carpotarsal osteolysis syndrome
DOID:0111539,parastremmatic dwarfism
DOID:0111538,paramyotonia congenita of von eulenburg
DOID:0080613,anterior segment dysgenesis 8
DOID:0080612,anterior segment dysgenesis 7
DOID:0080611,anterior segment dysgenesis 6
DOID:0080610,anterior segment dysgenesis 5
DOID:0080617,lymph node benign neoplasm
DOID:0080616,kidney cortex disease
DOID:0080615,nephroma
DOID:0080614,oculocutaneous albinism type vi
DOID:8011,obsolete metastatic fibrosarcoma
DOID:0080619,auditory system benign neoplasm
DOID:0080618,lymph node carcinoma
DOID:8014,obsolete ovarian dermoid cyst with corticotropin secreting adenoma
DOID:8016,obsolete anaplastic ganglioglioma
DOID:0070440,retinal macular dystrophy 3
DOID:0070443,neurodevelopmental disorder with cerebellar atrophy and motor dysfunction
DOID:0070442,paroxysmal nonkinesigenic dyskinesia 3
DOID:0070445,early-onset dystonia and/or spastic paraplegia
DOID:0070444,neurodevelopmental disorder with language delay and seizures
DOID:0070447,mitochondrial dna depletion syndrome 16b
DOID:0070446,mitochondrial dna depletion syndrome 16
DOID:13238,haverhill fever
DOID:0070449,mitochondrial dna depletion syndrome 18
DOID:2748,glycogen storage disease iii
DOID:2749,glycogen storage disease ia
DOID:2218,blood platelet disease
DOID:2219,glanzmann's thrombasthenia
DOID:0070448,mitochondrial dna depletion syndrome 17
DOID:2214,obsolete inherited blood coagulation disease
DOID:2215,factor vii deficiency
DOID:2216,factor v deficiency
DOID:2217,bernard-soulier syndrome
DOID:2746,glycogen storage disease v
DOID:2211,factor xiii deficiency
DOID:2212,obsolete coagulation protein disease
DOID:2213,hemorrhagic disease
DOID:0050090,obsolete rhinocerebral mucormycosis
DOID:409,liver disease
DOID:407,hepatic tuberculosis
DOID:404,gastrointestinal tuberculosis
DOID:402,oral tuberculosis
DOID:0050092,obsolete pulmonary paracoccidioidomycosis
DOID:401,multidrug-resistant tuberculosis
DOID:0050093,obsolete disseminated sporotrichosis
DOID:0050094,obsolete lymphocutaneous sporotrichosis
DOID:0050095,obsolete pulmonary sporotrichosis
DOID:0110668,congenital myasthenic syndrome 10
DOID:0110669,congenital myasthenic syndrome 14
DOID:0110664,congenital myasthenic syndrome 3c
DOID:0110665,congenital myasthenic syndrome 3b
DOID:0110666,congenital myasthenic syndrome 3a
DOID:0110667,congenital myasthenic syndrome 5
DOID:0110660,congenital myasthenic syndrome 12
DOID:0110661,congenital myasthenic syndrome 20
DOID:0110662,congenital myasthenic syndrome 1b
DOID:0110663,congenital myasthenic syndrome 1a
DOID:749,active peptic ulcer disease
DOID:743,dermatographia
DOID:745,epididymis adenomatoid tumor
DOID:744,obsolete muscle calcification and ossification
DOID:746,adenomatoid tumor
DOID:14038,obsolete precocious puberty
DOID:10210,obsolete calculus of gallbladder and bile duct without cholecystitis
DOID:10211,cholelithiasis
DOID:3528,anterior cerebral artery infarction
DOID:0060080,her2-receptor negative breast cancer
DOID:0060081,triple-receptor negative breast cancer
DOID:0060082,breast benign neoplasm
DOID:0060083,immune system cancer
DOID:0060084,cell type benign neoplasm
DOID:0060085,organ system benign neoplasm
DOID:0060086,female reproductive organ benign neoplasm
DOID:0060087,male reproductive organ benign neoplasm
DOID:0060088,vestibular gland benign neoplasm
DOID:0060089,endocrine organ benign neoplasm
DOID:3253,embryonal extrahepatic bile duct rhabdomyosarcoma
DOID:3252,prostate rhabdomyosarcoma
DOID:0014667,disease of metabolism
DOID:14032,malignant parietal pleura tumor
DOID:14033,malignant visceral pleura tumor
DOID:11514,fissured tongue
DOID:3255,botryoid rhabdomyosarcoma
DOID:3254,bile duct rhabdomyosarcoma
DOID:10022,ampulla of vater benign neoplasm
DOID:0060838,isolated microphthalmia 7
DOID:8643,duodenitis
DOID:6632,obsolete ovarian dermoid cyst with angiosarcoma
DOID:10024,migraine with aura
DOID:6119,renal pelvis urothelial papilloma
DOID:6118,renal pelvis inverted papilloma
DOID:6448,vulvar apocrine adenocarcinoma
DOID:6113,intracerebral cystic meningioma
DOID:6112,cerebral meningioma
DOID:6111,obsolete jugular foramen neoplasm
DOID:6446,ceruminous adenocarcinoma
DOID:6115,lateral ventricle meningioma
DOID:4693,nerve plexus neoplasm
DOID:1361,frontal sinus benign neoplasm
DOID:1468,labyrinthitis
DOID:1469,obsolete single major depressive episode in full remission
DOID:13109,bladder leiomyoma
DOID:4690,childhood mediastinal neurogenic tumor
DOID:5147,dartoic leiomyoma
DOID:1360,frontal sinus cancer
DOID:5149,epithelioid neurofibroma
DOID:0112381,muscular dystrophy-dystroglycanopathy type c12
DOID:1460,atheroembolism of kidney
DOID:1461,cholesterol embolism
DOID:1466,obsolete salmonella infectious disease
DOID:1467,serous labyrinthitis
DOID:1465,obsolete salmonella septicemia
DOID:13307,obsolete pseudomembranous diphtheritic conjunctivitis
DOID:1845,obsolete strongylida infectious disease
DOID:12514,retinal perforation
DOID:6273,obsolete metastasis to pituitary gland
DOID:12510,retinal ischemia
DOID:4814,obsolete ganglioneuroma of the retroperitoneum
DOID:9535,obsolete arenavirus hemorrhagic fever
DOID:4816,obsolete maturing ganglioneuroma
DOID:9537,lassa fever
DOID:4810,cerebrotendinous xanthomatosis
DOID:9531,latent syphilis
DOID:4812,adult brainstem gliosarcoma
DOID:14778,"blepharophimosis, ptosis, and epicanthus inversus syndrome"
DOID:14777,benign familial neonatal epilepsy
DOID:14775,brittle cornea syndrome 1
DOID:9829,obsolete drug abstinence syndrome or symptom
DOID:14773,cartilage-hair hypoplasia
DOID:4819,obsolete lung occult carcinoma
DOID:0080820,occupational asthma
DOID:0080821,exercise-induced bronchoconstriction
DOID:0080822,aspirin-induced respiratory disease
DOID:0080823,near-fatal asthma
DOID:0060228,intracranial berry aneurysm
DOID:0080825,thunderstorm triggered asthma
DOID:0080826,nocturnal asthma
DOID:0080827,human cytomegalovirus infection
DOID:0080828,vexas syndrome
DOID:0080829,low grade glioma
DOID:0060226,acrofrontofacionasal dysostosis
DOID:0060227,adams-oliver syndrome
DOID:0060220,physical urticaria
DOID:0060221,maffucci syndrome
DOID:0060222,scheie syndrome
DOID:0060223,agraphia
DOID:5497,obsolete hepadnaviridae infectious disease
DOID:5364,pulmonary coin lesion
DOID:5495,monophasic synovial sarcoma
DOID:5494,epithelioid cell synovial sarcoma
DOID:5361,obsolete mixed mucinous and non-mucinous bronchioloalveolar lung carcinoma
DOID:2788,obsolete ciliophora infectious disease
DOID:5363,myxoid liposarcoma
DOID:5362,focal epithelial hyperplasia
DOID:0110155,charcot-marie-tooth disease type 2a2a
DOID:5369,obsolete ovine progressive interstitial pneumonia
DOID:5368,wolffian duct adenocarcinoma
DOID:9799,eye degenerative disease
DOID:0112369,coffin-siris syndrome 7
DOID:0112368,coffin-siris syndrome 5
DOID:0112363,spondylocostal dysostosis 5
DOID:0112362,spondylocostal dysostosis 2
DOID:0112361,spondylocostal dysostosis 3
DOID:0112360,spondylocostal dysostosis 6
DOID:0112367,coffin-siris syndrome 8
DOID:0110158,charcot-marie-tooth disease type 2i
DOID:0112365,spondylocostal dysostosis 1
DOID:0112364,spondylocostal dysostosis 4
DOID:0110159,charcot-marie-tooth disease type 2b
DOID:0110807,hereditary spastic paraplegia 55
DOID:14067,plasmodium falciparum malaria
DOID:0050564,autosomal dominant nonsyndromic deafness
DOID:0050565,autosomal recessive nonsyndromic deafness
DOID:0050566,x-linked nonsyndromic deafness
DOID:0050567,orofacial cleft
DOID:0050560,walker-warburg syndrome
DOID:0050561,lennox-gastaut syndrome
DOID:0050562,west syndrome
DOID:0050563,nonsyndromic deafness
DOID:0050568,spondylocostal dysostosis
DOID:0050569,seckel syndrome
DOID:0050325,obsolete genetic disorder
DOID:0050322,obsolete primary vibrionaceae infectious disease
DOID:1593,obsolete metastasis to the peritoneum
DOID:0050323,obsolete primary coxiellaceae infectious disease
DOID:10456,tonsillitis
DOID:0050320,obsolete commensal alcaligenaceae infectious disease
DOID:10458,legionellosis
DOID:0050321,obsolete opportunistic pseudomonadaceae infectious disease
DOID:4001,ovarian carcinoma
DOID:12965,subleukemic leukemia
DOID:0060847,leri-weill dyschondrosteosis
DOID:0050300,obsolete deltavirus infectious disease
DOID:0050301,obsolete polyomaviridae infectious disease
DOID:0050302,obsolete varicellovirus infectious disease
DOID:0050303,obsolete hepacivirus infectious disease
DOID:0050304,aniseikonia
DOID:0050305,obsolete arteriviridae infectious disease
DOID:0050306,obsolete familial abdominal aortic aneurysm
DOID:0050307,obsolete bornaviridae infectious disease
DOID:0050308,alkhurma hemorrhagic fever
DOID:0050309,obsolete measles virus infectious disease
DOID:0081268,pulmonary venoocclusive disease 1
DOID:2917,cryoglobulinemia
DOID:2916,hypersensitivity reaction type iv disease
DOID:2914,immune system disease
DOID:2913,acute pancreatitis
DOID:2910,obsolete septic abortion
DOID:4163,ganglioneuroblastoma
DOID:2918,obsolete paraproteinemia
DOID:4367,apparent mineralocorticoid excess syndrome
DOID:4364,malignant breast melanoma
DOID:4362,cervical cancer
DOID:0081069,a53 diffuse large b-cell lymphoma
DOID:0081068,st2 diffuse large b-cell lymphoma
DOID:0081067,n1 diffuse large b-cell lymphoma
DOID:12328,marasmus
DOID:0081065,ezb diffuse large b-cell lymphoma
DOID:0081064,bn2 diffuse large b-cell lymphoma
DOID:0081063,dicer1 syndrome
DOID:0081062,obsolete diabetes
DOID:0081061,nephrogenic diabetes insipidus type 2
DOID:0081060,x-linked nephrogenic diabetes insipidus
DOID:0111326,juvenile myoclonic epilepsy 3
DOID:0111327,juvenile myoclonic epilepsy 4
DOID:0111324,juvenile absence epilepsy 1
DOID:0111325,juvenile myoclonic epilepsy 10
DOID:0111322,idiopathic generalized epilepsy 8
DOID:0111323,idiopathic generalized epilepsy 9
DOID:0111320,idiopathic generalized epilepsy 5
DOID:0111321,idiopathic generalized epilepsy 7
DOID:0111328,juvenile myoclonic epilepsy 9
DOID:0111329,pyridoxamine 5'-phosphate oxidase deficiency
DOID:0080446,developmental and epileptic encephalopathy 66
DOID:0080447,developmental and epileptic encephalopathy 43
DOID:0080444,developmental and epileptic encephalopathy 27
DOID:0080445,developmental and epileptic encephalopathy 13
DOID:0080442,developmental and epileptic encephalopathy 41
DOID:0080443,developmental and epileptic encephalopathy 21
DOID:0080440,developmental and epileptic encephalopathy 3
DOID:0080441,developmental and epileptic encephalopathy 49
DOID:0080448,developmental and epileptic encephalopathy 48
DOID:0080449,developmental and epileptic encephalopathy 16
DOID:3373,parosteal osteosarcoma
DOID:0080029,autosomal recessive spinocerebellar ataxia 16
DOID:11654,obsolete nevus of ota
DOID:4005,endometrial transitional cell carcinoma
DOID:0111182,familial hemiplegic migraine 2
DOID:0111183,familial hemiplegic migraine 3
DOID:0111180,french canadian leigh disease
DOID:0111181,familial hemiplegic migraine 1
DOID:0111186,"myopathy, lactic acidosis, and sideroblastic anemia 2"
DOID:0111187,distal myopathy with anterior tibial onset
DOID:0111184,"myopathy, lactic acidosis, and sideroblastic anemia 3"
DOID:0111185,"myopathy, lactic acidosis, and sideroblastic anemia 1"
DOID:0111188,myofibrillar myopathy 9
DOID:0111189,distal myopathy 3
DOID:10123,pigmentation disease
DOID:4433,pancreatic delta cell neoplasm
DOID:4346,variegate porphyria
DOID:8638,"obsolete hodgkin's lymphoma, lymphocytic-histiocytic predominance involving intra-abdominal lymph nodes"
DOID:9111,cutaneous leishmaniasis
DOID:0070112,niemann-pick disease type b
DOID:4436,anterior cranial fossa meningioma
DOID:4437,skull base meningioma
DOID:0060167,seasonal affective disorder
DOID:4434,small intestine neuroendocrine neoplasm
DOID:9115,obsolete rubella virus arthritis
DOID:11680,obsolete ocular onchocerciasis
DOID:14175,von hippel-lindau disease
DOID:14174,central neurocytoma
DOID:0070388,developmental and epileptic encephalopathy 102
DOID:0070389,developmental and epileptic encephalopathy 103
DOID:3352,malignant fibrous histiocytoma of bone
DOID:0110338,osteogenesis imperfecta type 17
DOID:3350,mesenchymal cell neoplasm
DOID:14172,rheumatic congestive heart failure
DOID:13480,obsolete paranoid type schizophrenia chronic state with acute exacerbation
DOID:13481,thanatophoric dysplasia
DOID:13482,proteus syndrome
DOID:0070114,niemann-pick disease type c2
DOID:14179,x-linked agammaglobulinemia
DOID:14178,obsolete immunodeficiency with increased igm
DOID:0070384,developmental and epileptic encephalopathy 98
DOID:0070385,developmental and epileptic encephalopathy 99
DOID:0110057,amelogenesis imperfecta type 2a1
DOID:0110056,amelogenesis imperfecta type 1c
DOID:0110055,amelogenesis imperfecta type 3a
DOID:0110054,amelogenesis imperfecta type 1a
DOID:0110053,amelogenesis imperfecta type 4
DOID:0110052,amelogenesis imperfecta type 1b
DOID:0110051,alzheimer's disease 19
DOID:0110050,alzheimer's disease 18
DOID:8469,influenza
DOID:0070119,meckel syndrome 5
DOID:0110059,x-linked amelogenesis imperfecta hypoplastic/hypomaturation 2
DOID:0110058,amelogenesis imperfecta type 1e
DOID:7631,"adult embryonal tumor with multilayered rosettes, c19mc-altered"
DOID:7633,macular holes
DOID:0110335,"osteogenesis imperfecta with opalescent teeth, blue sclerae and wormian bones but without fractures"
DOID:12689,acoustic neuroma
DOID:7634,suprasellar meningioma
DOID:7188,autoimmune thyroiditis
DOID:12685,mixed receptive-expressive language disorder
DOID:7638,obsolete paget's disease and invasive ductal carcinoma of breast
DOID:12680,pseudobulbar palsy
DOID:12683,vestibular neuronitis
DOID:8635,uvula cancer
DOID:14213,hypophosphatasia
DOID:14215,obsolete hyperamylasemia
DOID:14218,dihydropyrimidine dehydrogenase deficiency
DOID:14219,renal tubular acidosis
DOID:6327,obsolete ovarian dermoid cyst with adenocarcinoma
DOID:0110589,autosomal dominant nonsyndromic deafness 68
DOID:0110588,autosomal dominant nonsyndromic deafness 67
DOID:6322,tibial adamantinoma
DOID:0110585,autosomal dominant nonsyndromic deafness 64
DOID:0110584,autosomal dominant nonsyndromic deafness 6
DOID:0110587,autosomal dominant nonsyndromic deafness 66
DOID:0110586,autosomal dominant nonsyndromic deafness 65
DOID:0110581,autosomal dominant nonsyndromic deafness 56
DOID:0110580,autosomal dominant nonsyndromic deafness 54
DOID:0110583,autosomal dominant nonsyndromic deafness 59
DOID:0110582,autosomal dominant nonsyndromic deafness 58
DOID:0110273,autosomal dominant limb-girdle muscular dystrophy
DOID:0110272,cataract 40
DOID:0110271,cataract 23
DOID:0110270,cataract 17 multiple types
DOID:0110277,autosomal recessive limb-girdle muscular dystrophy type 2c
DOID:0110276,autosomal recessive limb-girdle muscular dystrophy type 2b
DOID:0110275,autosomal recessive limb-girdle muscular dystrophy type 2a
DOID:0110274,autosomal recessive limb-girdle muscular dystrophy
DOID:0110279,autosomal recessive limb-girdle muscular dystrophy type 2e
DOID:0110278,autosomal recessive limb-girdle muscular dystrophy type 2d
DOID:8208,lung superior sulcus carcinoma
DOID:7455,obsolete hypogonadotropism
DOID:7986,cerebral falx meningioma
DOID:7457,enterobiasis
DOID:7984,sclerosing breast papilloma
DOID:7983,breast malignant eccrine spiradenoma
DOID:7459,acantholytic variant squamous cell breast carcinoma
DOID:0070065,autosomal dominant intellectual developmental disorder 35
DOID:0060761,familial chronic myelocytic leukemia-like syndrome
DOID:0060760,immunodeficiency with hyper-igm type 4
DOID:0060763,x-linked juvenile retinoschisis 1
DOID:0060762,restrictive dermopathy
DOID:0060765,autosomal dominant robinow syndrome 2
DOID:0060764,autosomal recessive robinow syndrome
DOID:0060767,autosomal dominant robinow syndrome 3
DOID:0060766,autosomal dominant robinow syndrome 1
DOID:2001,neuroma
DOID:2000,otosalpingitis
DOID:2005,obsolete tracheal tuberculosis
DOID:2007,degeneration of macula and posterior pole
DOID:2006,preretinal fibrosis
DOID:0110441,dilated cardiomyopathy 2b
DOID:0110442,dilated cardiomyopathy 1q
DOID:2147,obsolete ovary soft tissue neoplasm
DOID:6852,obsolete eccrine angiomatous hamartoma
DOID:6581,breast apocrine carcinoma
DOID:6850,obsolete hamartoma of eccrine sweat gland
DOID:6851,obsolete linear eccrine nevus with comedones
DOID:6856,pineal region teratoma
DOID:6585,breast oncocytic carcinoma
DOID:6854,ethmoid sinus ectopic meningioma
DOID:6587,breast tubular carcinoma
DOID:6858,pineal region immature teratoma
DOID:0110446,dilated cardiomyopathy 1w
DOID:2140,urethral urothelial papilloma
DOID:1677,low implantation of placenta
DOID:1673,pneumothorax
DOID:1672,spontaneous tension pneumothorax
DOID:1670,behcet's syndrome arthropathy
DOID:14183,alcoholic neuropathy
DOID:1679,cystitis
DOID:1678,chronic interstitial cystitis
DOID:0050179,powassan encephalitis
DOID:0050178,obsolete complex genetic disease
DOID:0050173,obsolete inkoo encephalitis
DOID:0050172,obsolete trivittatus encephalitis
DOID:0050171,obsolete snowshoe hare encephalitis
DOID:0050170,obsolete jamestown canyon encephalitis
DOID:0050177,monogenic disease
DOID:0050175,tick-borne encephalitis
DOID:0050174,kunjin encephalitis
DOID:268,liver angiosarcoma
DOID:1588,thrombocytopenia
DOID:1585,obsolete rheumatic pneumonia
DOID:1584,acute chest syndrome
DOID:260,hepatic flexure cancer
DOID:261,transverse colon cancer
DOID:266,obsolete malignant soft tissue neoplasm of the spleen
DOID:1580,diffuse scleroderma
DOID:264,hemangiopericytoma
DOID:265,spleen angiosarcoma
DOID:0081194,autosomal recessive intellectual developmental disorder 33
DOID:0081272,sandestig-stefanova syndrome
DOID:0081273,siddiqi syndrome
DOID:0081270,smith-mccort dysplasia 1
DOID:0081271,smith-mccort dysplasia 2
DOID:0081276,"cerebellar atrophy, visual impairment, and psychomotor retardation"
DOID:0081277,"diffuse pediatric-type high-grade glioma, h3-wildtype and idh-wildtype"
DOID:0081274,peroxisome biogenesis disorder 14b
DOID:0081275,neurodevelopmental disorder with eye movement abnormalities and ataxia
DOID:0081278,infant-type hemispheric glioma
DOID:0081279,"diffuse astrocytoma, myb- or mybl1-altered"
DOID:3102,obsolete cervical rib syndrome
DOID:0050840,cervical dystonia
DOID:9499,disseminated eosinophilic collagen disease
DOID:9498,pulmonary eosinophilia
DOID:9496,unilateral hypoactive labyrinth
DOID:3639,spinal cord intramedullary teratoma
DOID:0050799,guanidinoacetate methyltransferase deficiency
DOID:0050798,cerebral creatine deficiency syndrome
DOID:0050797,peroxisomal acyl-coa oxidase deficiency
DOID:0050796,achalasia microcephaly syndrome
DOID:0050795,cone dystrophy
DOID:0050794,multiple synostoses syndrome
DOID:0050793,short qt syndrome
DOID:0050792,multiple cutaneous and mucosal venous malformations
DOID:0050791,persistent mullerian duct syndrome
DOID:0050790,fibular hypoplasia and complex brachydactyly
DOID:13319,obsolete lower limb lymph node mast cell malignancy
DOID:1858,mccune albright syndrome
DOID:13310,diphtheritic peritonitis
DOID:1852,intrahepatic cholestasis
DOID:5770,obsolete mycobacterium avium-intracellulare lymphadenitis
DOID:13313,pancreatic mucinous ductal ectasia
DOID:5776,cavernous hemangioma of face
DOID:13315,obsolete relapsing pancreatitis
DOID:13316,exocrine pancreatic insufficiency
DOID:13317,hyperinsulinemic hypoglycemia
DOID:0110875,holoprosencephaly 3
DOID:0110874,holoprosencephaly 6
DOID:0110877,holoprosencephaly 11
DOID:0110876,holoprosencephaly 7
DOID:0110871,congenital stationary night blindness 2a
DOID:0110870,congenital stationary night blindness 1a
DOID:0110873,holoprosencephaly 9
DOID:0110872,holoprosencephaly 2
DOID:12301,obsolete speckled lentiginous nevus
DOID:12302,obsolete diphtheritic membranous angina
DOID:0110879,holoprosencephaly 8
DOID:12305,bloch-sulzberger syndrome
DOID:12306,vitiligo
DOID:12307,anterior corneal pigmentation
DOID:4173,obsolete disseminated neuroblastoma
DOID:4172,obsolete localized unresectable neuroblastoma
DOID:4170,obsolete localized resectable neuroblastoma
DOID:4176,blood group incompatibility
DOID:4175,rh isoimmunization
DOID:9678,"obsolete cervical incompetence complicating pregnancy, childbirth, or the puerperium"
DOID:0110889,inflammatory bowel disease 5
DOID:9675,pulmonary emphysema
DOID:9673,ulcerative stomatitis
DOID:9672,noma
DOID:3183,childhood oligodendroglioma
DOID:3181,oligodendroglioma
DOID:0080059,autosomal recessive spinocerebellar ataxia 7
DOID:0080058,autosomal recessive spinocerebellar ataxia 14
DOID:3185,spinal cord glioma
DOID:3184,spinal cord oligodendroglioma
DOID:0080055,achondrogenesis type ib
DOID:11649,obsolete transitory tachypnea of newborn
DOID:0080057,autosomal recessive spinocerebellar ataxia 15
DOID:0080056,achondrogenesis type ii
DOID:0080051,"acromesomelic dysplasia, hunter-thompson type"
DOID:0080050,"acromesomelic dysplasia, maroteaux type"
DOID:0080053,albright's hereditary osteodystrophy
DOID:0080052,"acromesomelic dysplasia, grebe type"
DOID:0080583,"wolfram syndrome, mitochondrial form"
DOID:0080582,hypotrichosis 14
DOID:0080581,hyperekplexia 4
DOID:0080580,3-methylcrotonyl-coa carboxylase 2 deficiency
DOID:0080587,congenital myasthenic syndrome 22
DOID:0080586,van maldergem syndrome 2
DOID:0080585,van maldergem syndrome 1
DOID:0080584,autosomal dominant wolfram syndrome
DOID:0080589,klippel-feil syndrome 1
DOID:0080588,agammaglobulinemia 5
DOID:0081188,autosomal recessive intellectual developmental disorder 14
DOID:0081189,autosomal recessive intellectual developmental disorder 16
DOID:0081180,autosomal recessive intellectual developmental disorder 12
DOID:0081181,autosomal recessive intellectual developmental disorder 5
DOID:0081182,autosomal recessive intellectual developmental disorder 6
DOID:0081183,autosomal recessive intellectual developmental disorder 7
DOID:0081184,autosomal recessive intellectual developmental disorder 9/26
DOID:0081185,autosomal recessive intellectual developmental disorder 10/20
DOID:0081186,autosomal recessive intellectual developmental disorder 11
DOID:0081187,autosomal recessive intellectual developmental disorder 4
DOID:0080639,bone sarcoma
DOID:0080638,b-cell acute lymphoblastic leukemia
DOID:0080631,elsahy-waters syndrome
DOID:0080630,b-lymphoblastic leukemia/lymphoma
DOID:0080633,developmental cardiac valvular defect
DOID:0080632,fazio-londe disease
DOID:0080635,optic disc anomalies with retinal and/or macular dystrophy
DOID:0080634,nanophthalmos
DOID:0080637,isolated microphthalmia
DOID:0080636,syndromic microphthalmia
DOID:2588,obsolete nephrotic syndrome with lesion of persistent glomerulonephritis
DOID:2589,obsolete nephrotic syndrome with lesion of membranous glomerulonephritis
DOID:8078,childhood central nervous system germinoma
DOID:8079,obsolete monomorphic t-cell ptld
DOID:2584,obsolete nephrotic syndrome with lesion of endothelial glomerulonephritis
DOID:2585,obsolete nephrotic syndrome with lesion of segmental hyalinosis
DOID:2586,obsolete nephrotic syndrome with lesion of hypocomplementemic glomerulonephritis
DOID:2587,obsolete nephrotic syndrome with lesion of mesangiocapillary glomerulonephritis
DOID:2580,rhizomelic chondrodysplasia punctata
DOID:2581,chondrodysplasia punctata
DOID:2582,acatalasia
DOID:2583,agammaglobulinemia
DOID:10661,mediastinum ganglioneuroblastoma
DOID:10660,mediastinum neuroblastoma
DOID:2762,bone carcinoma
DOID:2763,ethmoid sinus squamous cell carcinoma
DOID:2764,ethmoid sinus adenoid cystic carcinoma
DOID:2766,ethmoid sinus adenocarcinoma
DOID:2768,transient tic disorder
DOID:2769,tic disorder
DOID:467,venous hemangioma
DOID:461,muscle benign neoplasm
DOID:462,obsolete cancer by anatomical entity
DOID:468,intramuscular hemangioma
DOID:469,deep angioma
DOID:0111519,autosomal dominant progressive external ophthalmoplegia with mitochondrial dna deletions 6
DOID:0111518,autosomal dominant progressive external ophthalmoplegia with mitochondrial dna deletions 5
DOID:0111049,platelet-type bleeding disorder 17
DOID:0111048,platelet-type bleeding disorder 19
DOID:0111511,melanoma and neural system tumor syndrome
DOID:0111510,marshall syndrome
DOID:0111513,metaphyseal dysplasia-maxillary hypoplasia-brachydactyly syndrome
DOID:0111512,metachondromatosis
DOID:0111515,autosomal recessive progressive external ophthalmoplegia with mitochondrial dna deletions 2
DOID:0111514,metatropic dysplasia
DOID:0111517,autosomal dominant progressive external ophthalmoplegia with mitochondrial dna deletions 2
DOID:0111516,autosomal recessive progressive external ophthalmoplegia with mitochondrial dna deletions 4
DOID:0110648,long qt syndrome 6
DOID:0110649,obsolete timothy syndrome
DOID:8692,myeloid leukemia
DOID:0110640,congenital muscular dystrophy due to lmna mutation
DOID:8691,mycosis fungoides
DOID:0110646,long qt syndrome 3
DOID:0110647,long qt syndrome 5
DOID:0110644,long qt syndrome 1
DOID:0110645,long qt syndrome 2
DOID:0110779,hereditary spastic paraplegia 28
DOID:10278,obsolete vasa previa complicating labor and delivery
DOID:10279,obsolete vasa previa
DOID:727,premenstrual tension
DOID:10277,obsolete pseudomonas intestinal infectious disease
DOID:10274,obsolete schizo-affective type schizophrenia in remission
DOID:724,female stress incontinence
DOID:10272,left bundle branch hemiblock
DOID:10273,heart conduction disease
DOID:720,normocytic anemia
DOID:4860,brain stem astrocytic neoplasm
DOID:9543,obsolete plasma cell myeloma ptld
DOID:4865,obsolete togaviridae infectious disease
DOID:4716,malignant gastric germ cell tumor
DOID:0090076,hypogonadotropic hypogonadism 18 with or without anosmia
DOID:9547,non-secretory myeloma
DOID:10892,hypospadias
DOID:0080943,"46,xx sex reversal 5"
DOID:4866,salivary gland adenoid cystic carcinoma
DOID:11950,"obsolete congenital cardiovascular disorder complicating pregnancy, childbirth, or the puerperium"
DOID:7848,interdigitating dendritic cell sarcoma
DOID:7849,dendritic cell sarcoma
DOID:7843,female breast carcinoma
DOID:7840,pancreatic non-functioning delta cell tumor
DOID:7841,"childhood embryonal tumor with multilayered rosettes, c19mc-altered"
DOID:7847,obsolete vascular hemorrhagic disorder
DOID:0090070,hypogonadotropic hypogonadism
DOID:0080942,anauxetic dysplasia
DOID:11954,obsolete psychosexual dysfunction with inhibited sexual excitement
DOID:11955,obsolete malnutrition of moderate degree
DOID:0110325,obsolete hypertrophic cardiomyopathy 19
DOID:6460,large intestine lipoma
DOID:6467,obsolete bone recurrent ewing's sarcoma
DOID:6469,ovarian mucinous adenofibroma
DOID:6468,mucinous cystadenofibroma
DOID:1112,obsolete neck cancer
DOID:1441,autosomal dominant cerebellar ataxia
DOID:1110,obsolete gastrointestinal melanoma
DOID:1111,obsolete malignant neoplasm of cervical part of esophagus
DOID:1116,pertussis
DOID:5162,arteriolosclerosis
DOID:13121,deficiency anemia
DOID:13120,protein-deficiency anemia
DOID:1119,obsolete large for dates affecting management of mother
DOID:0050867,obsolete jensen syndrome
DOID:13129,severe pre-eclampsia
DOID:12537,hypermobility of coccyx
DOID:9809,hypersensitivity vasculitis
DOID:0050866,oral squamous cell carcinoma
DOID:12531,von willebrand's disease
DOID:9801,tuberculous peritonitis
DOID:9804,obsolete pneumococcal peritonitis
DOID:3376,bone osteosarcoma
DOID:12539,obsolete chlamydia trachomatis proctitis
DOID:12538,obsolete chlamydia trachomatis pharyngitis
DOID:14791,leber congenital amaurosis
DOID:13839,extrapyramidal and movement disease
DOID:14793,hypohidrotic ectodermal dysplasia
DOID:0080808,mammary analogue secretory carcinoma
DOID:0080809,chronic asthma
DOID:0080806,cranioectodermal dysplasia 4
DOID:0080807,autosomal dominant craniodiaphyseal dysplasia
DOID:0080804,cranioectodermal dysplasia 2
DOID:0080805,cranioectodermal dysplasia 3
DOID:0080802,autosomal recessive craniometaphyseal dysplasia
DOID:0080803,cranioectodermal dysplasia 1
DOID:0080800,salivary gland mucinous adenocarcinoma
DOID:0080801,autosomal dominant craniometaphyseal dysplasia
DOID:0060137,auditory agnosia
DOID:0060208,obsolete amyotrophic lateral sclerosis type 17
DOID:0060209,amyotrophic lateral sclerosis type 18
