Identifier,Disease
myxofibrosarcoma,{DOID:0080534}
fused incisors,{DOID:0111380}
xlmtm,{DOID:0111225}
x-linked aarskog syndrome,{DOID:6683}
candida esophagitis,{DOID:13146}
congenital folate malabsorption,{DOID:0111678}
axillary adenitis,{DOID:4640}
posterior choanal atresia,{DOID:9574}
semdjl,{DOID:0112197}
birk-barel syndrome,{DOID:0050675}
postcholecystectomy syndrome,{DOID:9740}
alveolococcosis,{DOID:12148}
peritoneal neoplasm,{DOID:4884}
hpv,{DOID:11166}
de lange syndrome,{DOID:11725}
glottis squamous cell carcinoma,{DOID:7031}
colonic signet ring adenocarcinoma,{DOID:3033}
"alzheimer's disease 11, late onset",{DOID:0110044}
warty carcinoma,{DOID:3737}
clear cell adenofibroma,{DOID:5477}
"atr, nondeletion type",{DOID:0110030}
obsolete angiosarcoma associated with lymphedema,{DOID:4509}
malignant tumor of descending colon,{DOID:12190}
childhood brain stem neoplasm,{DOID:4206}
obsolete thiourea tasting,{DOID:0050334}
pneumatosis cystoides intestinalis,{DOID:13249}
hp3,{DOID:0111672}
hp2,{DOID:0111671}
hp1,{DOID:0111670}
"diffuse astrocytoma, myb- or mybl1-altered",{DOID:0081279}
obsolete herpes zoster eyelid dermatitis,{DOID:9217}
"thymoma, malignant",{DOID:3284}
thromboangiitis obliterans,{DOID:12918}
juvenile absence epilepsy,{DOID:0060172}
restrictive dermopathy,{DOID:0060762}
gummatous frambeside,{DOID:10567}
herpes simplex dermatitis of eyelid,{DOID:9123}
skene gland carcinoma,{DOID:7284}
all,{DOID:9952}
pancreatic vasoactive intestinal peptide producing tumor,{DOID:5741}
pseudohypoaldosteronism,{DOID:4479}
leptomeningeal cyst,{DOID:4445}
neoplasm of sigmoid colon,{DOID:1896}
intermediate spinal muscular atrophy,{DOID:0050530}
early infantile epileptic encephalopathy 39,{DOID:0080349}
early infantile epileptic encephalopathy 38,{DOID:0080417}
early infantile epileptic encephalopathy 35,{DOID:0080458}
early infantile epileptic encephalopathy 34,{DOID:0080460}
primary peritoneal serous adenocarcinoma,{DOID:4901}
early infantile epileptic encephalopathy 36,{DOID:0080470}
early infantile epileptic encephalopathy 31,{DOID:0080437}
early infantile epileptic encephalopathy 30,{DOID:0080465}
early infantile epileptic encephalopathy 33,{DOID:0080463}
early infantile epileptic encephalopathy 32,{DOID:0080416}
glycogenosis,{DOID:2747}
proximal myopathy with early respiratory muscle involvement,{DOID:0111188}
adenosquamous carcinoma of cervix,{DOID:5636}
single central maxillary incisor,{DOID:0111380}
free-living ameba infectious disease,{DOID:0050234}
early-onset progressive encephalopathy with brain atrophy and thin corpus callosum,{DOID:0070423}
ptd,{DOID:0050677}
obsolete serous neoplasm,{DOID:2654}
bone osteosarcoma,{DOID:3376}
syndromic x-linked intellectual disability 14,{DOID:0060821}
erythrasma,{DOID:4131}
syndromic x-linked intellectual disability 17,{DOID:0060803}
well differentiated spinal cord oligodendroglioma,{DOID:3184}
syndromic x-linked intellectual disability 12,{DOID:0060804}
esophagus leiomyosarcoma,{DOID:5276}
early infantile epileptic encephalopathy 80,{DOID:0112216}
chronic diarrhea due to guanylate cyclase 2c overactivity,{DOID:0060780}
polyp of middle ear,{DOID:7439}
early infantile epileptic encephalopathy 81,{DOID:0112217}
malignant tumor of the soft palate,{DOID:8578}
drusen of bruch membrane,{DOID:0060746}
4-alpha-hydroxyphenylpyruvate hydroxylase deficiency,{DOID:0111362}
"hodgkin's sarcoma of lymph nodes of head, face and neck (disorder)",{DOID:8994}
arthropathy in behcet's syndrome involving lower leg,{DOID:1670}
faciocutaneoskeletal syndrome,{DOID:0050469}
"developmental delay, hypotonia, and impaired language",{DOID:0070420}
follicular basal cell carcinoma,{DOID:4295}
dental pulp necrosis,{DOID:11623}
keratosis palmaris et plantaris with esophageal cancer,{DOID:0111506}
early infantile epileptic encephalopathy 84,{DOID:0112219}
autosomal recessive muscular dystrophy due to torsin-1a-interacting protein 1 deficiency,{DOID:0110289}
subdural abscess,{DOID:11389}
chediak - steinbrinck anomaly,{DOID:2935}
glaucoma simplex,{DOID:1067}
autosomal dominant nonsyndromic deafness 70,{DOID:0110592}
lipofibromatosis,{DOID:0080109}
pancreatic serous cystadenocarcinoma,{DOID:5751}
candidal: [otitis externa] or [otomycosis],{DOID:13527}
vascular myelopathy,{DOID:320}
obsolete female genital tuberculosis,{DOID:13175}
malignant germ cell tumour of the heart,{DOID:14535}
acute myeleoid leukemia with bcr-abl1,{DOID:0080976}
autosomal dominant nonsyndromic deafness 74,{DOID:0112165}
stone of salivary gland or duct,{DOID:12905}
obstructive hydrocephalus,{DOID:14159}
obsolete border disease,{DOID:4804}
vulvar basaloid squamous cell carcinoma,{DOID:7048}
congenital aplastic anaemia,{DOID:1342}
sld,{DOID:9452}
papillary tumor of the pineal region,{DOID:0081251}
acute gastrojejunal ulcer with hemorrhage and perforation,{DOID:10927}
sarcoma of kidney,{DOID:4242}
pulmonary sarcomatoid carcinoma,{DOID:0080777}
epidermoid carcinoma,{DOID:1749}
classic hemophilia a,{DOID:12134}
"excessive fetal growth, affecting management of mother, antepartum",{DOID:1119}
communicating hydrocephalus,{DOID:1573}
autosomal recessive nonsyndromic deafness 1a,{DOID:0110475}
nemaline myopathy 8,{DOID:0110930}
mucinous bronchioloalveolar adenocarcinoma,{DOID:0080185}
malignant melanoma of skin of upper limb,{DOID:8923}
urinary bladder posterior wall cancer,{DOID:11811}
primary ciliary dyskinesia 17 with or without situs inversus,{DOID:0110621}
"isolated tracheal or bronchial tuberculosis, unspecified examination",{DOID:2005}
lis7,{DOID:0112231}
gilbert's disease,{DOID:2739}
covid19,{DOID:0080600}
lung occult large cell carcinoma,{DOID:7169}
congenital central alveolar hypoventilation syndrome,{DOID:0060731}
urethra metastatic malignant neoplasm,{DOID:735}
autosomal recessive waardenburg syndrome type 2 with ocular albinism,{DOID:0090100}
localised morphea,{DOID:8472}
mastitis carcinomatosa,{DOID:6263}
cog7-cdg,{DOID:0070257}
obsolete salmonella meningitis,{DOID:9468}
thyroid gland anaplastic carcinoma,{DOID:0080522}
parkinson disease 3,{DOID:0111250}
adenocarcinoma in tubular adenoma,{DOID:8222}
malignant phyllodes tumor,{DOID:3016}
obsolete human papilloma virus related penile squamous cell carcinoma,{DOID:7739}
laryngeal mucoepidermoid carcinoma,{DOID:4688}
split hand-foot malformation 1 with sensorineural hearing loss,{DOID:0090024}
developmental apraxia of speech,{DOID:0111275}
"vitamin d-resistant rickets, x-linked",{DOID:0050445}
autosomal recessive osteopetrosis type 7,{DOID:0110946}
chromosome xq22.3 telomeric deletion syndrome,{DOID:0111860}
perry syndrome,{DOID:0060486}
indian tick typhus,{DOID:0050042}
acth-independent macronodular adrenocortical hyperplasia,{DOID:0111622}
metastatic tumor to the pleura,{DOID:13408}
beemer-langer syndrome,{DOID:9249}
signet ring cell carcinoma of the gallbladder,{DOID:3499}
herlitz-pearson-type epidermolysis bullosa,{DOID:0060737}
bda3,{DOID:0110966}
bda2,{DOID:0110965}
acute swimmers' ear,{DOID:10518}
bda6,{DOID:0110968}
xanthinuria type ii,{DOID:0070453}
hyperchylomicronemia,{DOID:14118}
obsolete anaplastic carcinoma,{DOID:5651}
intrinsic asthma,{DOID:9360}
meige disease,{DOID:0070213}
adult t-cell leukemia,{DOID:0050523}
"malignant neoplasm of eyeball excluding conjunctiva, cornea, retina and choroid (disorder)",{DOID:12758}
retinitis pigmentosa 90,{DOID:0112147}
"disorganized type schizophrenia, in remission",{DOID:791}
spindled mesothelioma,{DOID:4488}
delta chain disease,{DOID:0060129}
"lipomatosis, familial multiple",{DOID:3315}
noonan syndrome 10,{DOID:0060588}
mood disorder,{DOID:3324}
retinochoroiditis,{DOID:8886}
dolichospondylic dysplasia,{DOID:0060241}
"osteogenesis imperfecta, levin type",{DOID:0111533}
x-linked distal spinal muscular atrophy 3,{DOID:0111196}
alpha thalassemia-intellectual disability syndrome type 1,{DOID:0110029}
heterotopic cortex,{DOID:0111169}
obsolete adult myxoid chondrosarcoma,{DOID:6495}
t cell immunodeficiency,{DOID:11200}
baraitser-brett-piesowicz syndrome,{DOID:0050656}
throat infection - tonsillitis,{DOID:10456}
tumor of renal pelvis,{DOID:5977}
autosomal hemophilia a,{DOID:0111823}
dysthymic disorder,{DOID:12139}
disseminated intravascular coagulation in newborn,{DOID:11246}
hemoglobin c disease,{DOID:2859}
glycogen storage disease type viii,{DOID:2751}
"hodgkin's lymphoma, nodular sclerosis",{DOID:8838}
intrahepatic gall duct cancer,{DOID:12298}
obsolete head neoplasm,{DOID:449}
acute ethmoiditis,{DOID:9506}
familial hypertriglyceridemia,{DOID:1172}
distal arthrogryposis type 2b3 (sheldon-hall),{DOID:0111602}
non-syndromic x-linked intellectual disability 58,{DOID:0112024}
tumor of the ampulla of vater,{DOID:10022}
non-syndromic x-linked intellectual disability 53,{DOID:0112047}
non-syndromic x-linked intellectual disability 50,{DOID:0112029}
candidal otitis externa (disorder),{DOID:13527}
stuttering,{DOID:0060243}
familial erythrocytosis,{DOID:10780}
supratentorial meningioma,{DOID:0080843}
nickel allergic asthma,{DOID:0040045}
thes,{DOID:0111414}
coccygeal hypermobility syndrome,{DOID:12537}
fibroosseous digital pseudotumor,{DOID:8153}
obsolete regional neuroblastoma,{DOID:4165}
vestibular schwannomatosis,{DOID:0111252}
yorifuji-okuno syndrome,{DOID:0111733}
obsolete bluetongue,{DOID:1335}
17p11.2 microdeletion syndrome,{DOID:0060768}
nags deficiency,{DOID:0112258}
partial loss or necrosis of ear ossicles,{DOID:11783}
urothelial cell carcinoma of renal pelvis,{DOID:5974}
boder-sedgwick syndrome,{DOID:12704}
aortic valve insufficiency,{DOID:57}
anorectal stricture,{DOID:11014}
metaphyseal dysplasia,{DOID:0080019}
"obsolete vasa previa complicating labor and delivery, delivered",{DOID:10280}
distal-hmn type 6,{DOID:0111064}
malignant fibroxanthoma,{DOID:3354}
pediatric multilocular cystic renal tumor,{DOID:7762}
pelizaeus-merzbacher-like disease 1,{DOID:0060787}
obsolete anaplastic seminoma,{DOID:6506}
"immunodeficiency 29, mycobacteriosis",{DOID:0111950}
streptococcus pneumoniae septicemia,{DOID:13643}
charcot-marie-tooth disease recessive intermediate a,{DOID:0110201}
charcot-marie-tooth disease recessive intermediate b,{DOID:0110204}
charcot-marie-tooth disease recessive intermediate c,{DOID:0110198}
charcot-marie-tooth disease recessive intermediate d,{DOID:0110203}
benign recurrent intrahepatic cholestasis 1,{DOID:0070231}
medullary osteosarcoma,{DOID:7602}
obsolete diabetic oculopathy,{DOID:2180}
hereditary breast and ovarian cancer,{DOID:5683}
timothy syndrome,{DOID:0060173}
postpartum edema or excessive weight gain,{DOID:1047}
obsolete autosomal dominant chronic granulomatous disease,{DOID:0070190}
persian gulf syndrome,{DOID:4491}
acute pyelonephritis,{DOID:559}
acute monocytic leukemia without mention of remission,{DOID:8864}
bladder clear cell adenocarcinoma,{DOID:5306}
sarcoma of accessory sinus,{DOID:1362}
neoplasm associated ectopic hormone secretion syndromes,{DOID:3402}
diffuse melanocytosis,{DOID:6379}
squamous cell carcinoma,{DOID:1749}
malignant tumour of leptomeninges,{DOID:6086}
autosomal dominant dilated cardiomyopathy with sensorineural hearing loss,{DOID:0110440}
tracheitis,{DOID:9392}
thyrotoxicosis,{DOID:7997}
familial thrombocytosis,{DOID:2224}
nasopharynx cancer,{DOID:9261}
sarcomatoid transitional cell carcinoma,{DOID:4014}
pharyngitis,{DOID:2275}
israeli bedouin type b multiple contracture syndrome,{DOID:0060653}
autosomal recessive hypophosphatemic rickets,{DOID:0050949}
infant gynecomastia,{DOID:11603}
obsolete agalactia,{DOID:1402}
hyper-igm syndrome 5,{DOID:0060759}
antepartum deep-vein thrombosis,{DOID:390}
"acute otitis externa, diffuse",{DOID:10518}
oat cell carcinoma,{DOID:5411}
legionella,{DOID:10457}
bronchitis,{DOID:6132}
megacystis-microcolon-intestinal hypoperistalsis syndrome,{DOID:0060610}
autosomal recessive congenital motor nystagmus,{DOID:0111797}
anti-glomerular basement membrane disease,{DOID:9808}
carotid artery disease,{DOID:3407}
blepharocheilodontic syndrome 2,{DOID:0080346}
hodgkin's granuloma of intrapelvic lymph nodes (disorder),{DOID:8650}
obsolete cervical papillary squamous cell carcinoma,{DOID:7833}
blepharocheilodontic syndrome 1,{DOID:0080345}
spgf3,{DOID:0070168}
spgf2,{DOID:0070164}
spgf1,{DOID:0070188}
antepartum vascular lesions of cord complicating labor and delivery,{DOID:11147}
"neurodegeneration with ataxia, dystonia, and gaze palsy, childhood-onset",{DOID:0081364}
spgf5,{DOID:0070183}
spgf4,{DOID:0070176}
benign eccrine breast spiradenoma,{DOID:1616}
spgf8,{DOID:0070169}
obsolete vitamin b deficiency,{DOID:8449}
hypokalemic alkalosis with hypercalciuria 1 antenatal,{DOID:0110142}
cystic teratoma,{DOID:2660}
oral candidiasis,{DOID:14262}
x-linked mixed conductive and neurosensory hearing loss,{DOID:0111737}
lipoma of large intestine,{DOID:6460}
cord20,{DOID:0111026}
conjunctivitis due to toxoplasmosis,{DOID:13343}
sarcomatoid basal cell carcinoma,{DOID:4303}
obsolete retroverted incarcerated gravid uterus,{DOID:12727}
maxillary sinus benign neoplasm,{DOID:1358}
obsolete metastatic endometrial carcinoma,{DOID:8238}
"polycystic kidney disease, adult, type iii",{DOID:0110860}
x-linked adrenal hypoplasia congenita,{DOID:0080156}
chlamydiaceae infection,{DOID:3820}
migraine without aura,{DOID:12783}
fish-odor syndrome,{DOID:0080361}
marie-strumpell disease,{DOID:7147}
obsolete candidal enteritis,{DOID:13528}
wernicke's encephalopathy,{DOID:2384}
volvulus of midgut,{DOID:8445}
infantile spastic cerebral palsy,{DOID:10965}
plasmodium malariae malaria,{DOID:14324}
malignant neoplasm of thyroid gland,{DOID:1781}
obsolete extracutaneous melanoma,{DOID:1109}
"polycystic kidney disease, infantile type (disorder)",{DOID:5928}
idiopathic generalized epilepsy 14,{DOID:0111315}
idiopathic generalized epilepsy 15,{DOID:0111316}
idiopathic generalized epilepsy 10,{DOID:0111292}
idiopathic generalized epilepsy 11,{DOID:0111312}
idiopathic generalized epilepsy 12,{DOID:0111313}
idiopathic generalized epilepsy 13,{DOID:0111314}
b-lymphoblastic leukemia/lymphoma with t(5;14)(q31.1;q32.3) il3-igh,{DOID:0080648}
autosomal recessive deafness 18b,{DOID:0110474}
autosomal recessive deafness 18a,{DOID:0110473}
trematode infestation,{DOID:887}
web eye,{DOID:10526}
leukemic reticuloendotheliosis involving intrathoracic lymph nodes,{DOID:12021}
coca 1,{DOID:3883}
"warts, hypogammaglobulinemia, infections, and myelokathexis",{DOID:0060591}
obsolete psychogenic dysmenorrhea,{DOID:12417}
"immunodeficiency 32b, monocyte and dendritic cell deficiency, autosomal recessive",{DOID:0111985}
igds,{DOID:0050786}
mddgb2,{DOID:0112380}
"generalized infection during labor, delivered",{DOID:1042}
seitelberger disease,{DOID:0110735}
macrocephaly (disorder),{DOID:2186}
schnitzler syndrome,{DOID:4371}
fibroepithelial polyp of urethra,{DOID:8108}
pallidopyramidal syndrome,{DOID:0060372}
opitz gbbb syndrome type i,{DOID:0080697}
pancreatic acinar cell adenocarcinoma,{DOID:5742}
optic disc anomalies with retinal and/or macular dystrophy,{DOID:0080635}
micro syndrome 1,{DOID:0110716}
micro syndrome 3,{DOID:0110718}
cutaneous leiomyosarcoma,{DOID:5273}
micro syndrome 4,{DOID:0110719}
pediatric testicular teratocarcinoma,{DOID:6474}
ureteral transitional cell carcinoma with mixed differentiation,{DOID:8136}
galactosemia iii,{DOID:0111458}
x-linked infantile nystagmus 1,{DOID:0111790}
autosomal recessive congenital ichthyosis 3,{DOID:0060711}
obsolete visual alteration,{DOID:5244}
severe combined immunodeficiency due to dclre1c deficiency,{DOID:0090012}
pmp2-related hereditary motor and sensory neuropathy type 1,{DOID:0111560}
secretory uterine corpus endometrioid adenocarcinoma,{DOID:7289}
conn syndrome,{DOID:12028}
obsolete hodgkin's paragranuloma involving lymph nodes of axilla and upper limb,{DOID:8641}
fibromuscular hyperplasia of arteries nos (disorder),{DOID:2389}
combined saposin deficiency,{DOID:0111330}
obsolete ampulla of vater intestinal type adenocarcinoma,{DOID:6091}
obsolete color vision defect,{DOID:11662}
parasitic infestation of eyelid,{DOID:13823}
cervical neoplasm,{DOID:4362}
polysyndactyly with peculiars skull shape,{DOID:14761}
chronic sphenoidal sinusitis,{DOID:10793}
pertussis,{DOID:1116}
ancylostomiasis due to ancylostoma ceylanicum,{DOID:12840}
congenital disorder of deglycosylation,{DOID:0060728}
infant of a diabetic mother syndrome,{DOID:14045}
con,{DOID:0070314}
trigeminal nerve disease,{DOID:561}
frontal lobe epilepsy,{DOID:3331}
circumscribed storiform collagenoma,{DOID:6714}
autosomal recessive spondyloepiphyseal dysplasia tarda leroy-spranger type,{DOID:0112291}
interdigitating dendritic cell sarcoma,{DOID:7848}
mcop8,{DOID:0060841}
hypermethioninemia encephalopathy due to adenosine kinase deficiency,{DOID:0111038}
mcop6,{DOID:0060835}
mcop7,{DOID:0060838}
mcop4,{DOID:0060836}
mcop5,{DOID:0060837}
mcop2,{DOID:0060839}
mcop3,{DOID:0060842}
mcop1,{DOID:0060840}
pneumonia due to klebsiella pneumoniae,{DOID:13272}
cms ia1,{DOID:0110678}
eosinophilic endomyocardial disease,{DOID:396}
myocardial infarct,{DOID:5844}
obsolete metastatic adenocarcinoma,{DOID:3027}
obsolete yersinia pseudotuberculosis infectious disease,{DOID:3299}
breast myoepithelial neoplasm,{DOID:3004}
dystonia 23,{DOID:0090051}
dystonia 21,{DOID:0090046}
dystonia 27,{DOID:0090050}
dystonia 24,{DOID:0090052}
dystonia 25,{DOID:0090055}
"emery-dreifuss muscular dystrophy, autosomal dominant",{DOID:0070247}
tumor of nipple,{DOID:3003}
fibrolamellar hepatocellular carcinoma,{DOID:5015}
pseudo-morquio disease type i,{DOID:0111167}
imd44,{DOID:0111975}
inverting papilloma of the nasal cavity,{DOID:4633}
hibernoma of nervous system,{DOID:6607}
hyperprolinemia type 2,{DOID:0080543}
spastic diplegia,{DOID:10965}
melas syndrome,{DOID:3687}
lymphogranuloma inguinale,{DOID:13819}
binocular vision disease,{DOID:12667}
skin sarcoidosis,{DOID:13402}
imd40,{DOID:0111951}
iron storage disorder,{DOID:2352}
cdgiide,{DOID:0070257}
xlhed,{DOID:0111664}
infection by dipetalonema,{DOID:14422}
obsolete myopathy of critical illness,{DOID:10569}
acute periodontitis,{DOID:10423}
carcinoma in situ of anal canal,{DOID:9087}
ca middle third oesophagus,{DOID:5041}
secondary carcinoma,{DOID:4102}
acute dacryoadenitis,{DOID:952}
hyperostosis with hyperphosphatemia,{DOID:0111063}
dilated cardiomyopathy 3b,{DOID:0081164}
mulibrey growth disorder,{DOID:0050436}
micro syndrome,{DOID:0060237}
immunoglobulin heavy chain deficiency,{DOID:2115}
epizootic stomatitis,{DOID:11261}
stiff-person syndrome,{DOID:13366}
hemoglobin sc disease,{DOID:10923}
muhh2,{DOID:0110702}
muhh1,{DOID:0110701}
"vascular lesions of cord complicating labor and delivery, delivered",{DOID:11147}
mixed acinar-endocrine carcinoma (morphologic abnormality),{DOID:7836}
peripheral nervous system benign neoplasm,{DOID:0080320}
gd i,{DOID:0110957}
familial benign hypercalcemia 1,{DOID:0060700}
complete androgen insensitivity syndrome,{DOID:0080775}
x-linked dyserythropoietic anemia with abnormal platelets and neutropenia,{DOID:0112156}
cln4a,{DOID:0110730}
zebrafish allergy,{DOID:0060517}
epv,{DOID:0111666}
venereal wart,{DOID:11168}
epp,{DOID:13270}
coronin-1a deficiency,{DOID:0060019}
primary ciliary dyskinesia 42,{DOID:0111855}
primary ciliary dyskinesia 43,{DOID:0111856}
primary ciliary dyskinesia 40,{DOID:0111853}
primary ciliary dyskinesia 41,{DOID:0111858}
optic nerve disease,{DOID:1891}
primary ciliary dyskinesia 44,{DOID:0111851}
epi,{DOID:13316}
bruton agammaglobulinemia tyrosine kinase deficiency,{DOID:14179}
cakut with or without ocular abnormalities,{DOID:0090006}
cataract 8 multiple types,{DOID:0110228}
conventional fibrosarcoma,{DOID:3517}
wrist or carpus enthesopathy nos (disorder),{DOID:10473}
"obsolete recent retinal detachment, total or subtotal",{DOID:9815}
glanzmann thrombasthenia,{DOID:2219}
ichthyosis-follicular atrophoderma-hypotrichosis syndrome,{DOID:0060720}
leiomyosarcoma of the pulmonary vein,{DOID:7388}
lipid-rich carcinoma,{DOID:5658}
neoplasm,{DOID:14566}
ancylostomiasis due to ancylostoma braziliense (disorder),{DOID:13047}
lm - lactose malabsorption,{DOID:10604}
familial fibrosing serositis,{DOID:0090127}
epidemic louse-borne typhus,{DOID:11256}
pelvic cellulitis,{DOID:1260}
inverted papilloma of the maxillary sinus,{DOID:7868}
microcephalic osteodysplastic primordial dwarfism type i,{DOID:0060608}
obsolete opitz-gbbb syndrome,{DOID:0050780}
phthalyl allergy,{DOID:0040076}
"epidemic, myositis",{DOID:10882}
nakamura-osame syndrome,{DOID:0110764}
astereognosia,{DOID:0060150}
heparan-alpha-glucosaminide n-acetyltransferase deficiency,{DOID:0111393}
metastatic carcinoma from the small intestine,{DOID:8309}
anterior synechiae (disorder),{DOID:4726}
infection by pityrosporum furfur,{DOID:9060}
"diabetes mellitus juvenile type, uncontrolled, with peripheral circulatory disorder",{DOID:14001}
senile hyperkeratosis,{DOID:8866}
gum disease,{DOID:1483}
paget's disease of penis,{DOID:3448}
hair matrix neoplasm,{DOID:5375}
senda,{DOID:0110739}
obsolete coronavirus infectious disease,{DOID:2946}
mineral metabolism disease,{DOID:0050032}
acute proliferative glomerulonephritis,{DOID:13138}
colon carcinoma,{DOID:1520}
placenta praevia,{DOID:11060}
infectious disease,{DOID:0050117}
biliary cystadenocarcinoma,{DOID:4075}
autosomal recessive early-onset parkinson's disease 23,{DOID:0060896}
robinow dwarfism,{DOID:0060254}
cmd1gg,{DOID:0110435}
precocious true puberty,{DOID:14038}
bladder benign neoplasm,{DOID:0050623}
variant angina,{DOID:0111151}
obsolete catatonic schizophrenia,{DOID:10925}
mc1dm1,{DOID:0112101}
intermittent monocular exotropia (disorder),{DOID:11855}
briquet's disorder,{DOID:13918}
colonic cavernous hemangioma,{DOID:5775}
insulin resistance,{DOID:9352}
dilated cardiomyopathy-hypergonadotropic hypogonadism syndrome,{DOID:0111584}
obsolete ssdna virus infectious disease,{DOID:0050499}
b cell linker protein deficiency,{DOID:0060027}
neoplasm of the lymphatic vessel,{DOID:1744}
tetanus,{DOID:11338}
obsolete metastatic ewing's sarcoma,{DOID:4982}
"cleft palate, cardiac defects, and intellectual disabillity",{DOID:0111697}
yersiniosis (disorder),{DOID:3300}
combined immunodeficiency due to il21r deficiency,{DOID:0111982}
"patella aplasia, coxa vara, and tarsal synostosis",{DOID:0111382}
obsolete timothy syndrome,{DOID:0110649}
selective ige immunodeficiency,{DOID:6024}
lymphocytic meningitis,{DOID:12155}
swyer syndrome,{DOID:14448}
jejunal tumor,{DOID:3218}
secondary malignant neoplasm of eye (disorder),{DOID:773}
pericardial tumor,{DOID:116}
transient arthropathy involving multiple sites,{DOID:12084}
"amyloidosis, familial renal",{DOID:0050636}
pancreatic wdha syndrome,{DOID:6977}
squamous cell carcinoma of the fallopian tube,{DOID:5540}
charcot-marie-tooth neuropathy type 4b2,{DOID:0110190}
hepatoencephalopathy due to coxpd1,{DOID:0111474}
proliferative vasculopathy and hydranencephaly/hydrocephaly,{DOID:0111666}
9q-syndrome,{DOID:0060352}
"hodgkin's paragranuloma of lymph nodes of head, face and/or neck (disorder)",{DOID:9039}
mumps meningitis (disorder),{DOID:10309}
tertiary neurosyphilis,{DOID:9988}
naegleria fowleri infection,{DOID:0050242}
obsolete haemophilus influenzae septicemia,{DOID:11183}
ovarian brenner tumour,{DOID:2636}
"mouth, inability to completely open, and short finger-flexor tendons",{DOID:0111603}
islet cell adenoma,{DOID:3892}
hereditary diffuse leukoencephalopathy with spheroids,{DOID:0080523}
leptomeningeal sarcoma,{DOID:7689}
hyperthyroidism,{DOID:7998}
echinococcus granulosus infectious disease of thyroid,{DOID:1495}
malignant adrenocortical tumor,{DOID:660}
perinatal skin prob. nos,{DOID:11604}
balo's concentric sclerosis,{DOID:0060215}
mitochondrial complex i deficiency,{DOID:0060536}
obsolete ovarian dermoid cyst with corticotropin secreting adenoma,{DOID:8014}
pseudotuberculosis (disorder),{DOID:3299}
differentiated thyroid gland carcinoma,{DOID:0080525}
friedreich ataxia 1,{DOID:0111218}
friedreich ataxia 2,{DOID:0111219}
prostate cancer,{DOID:10283}
adrenal gland ganglioneuroblastoma,{DOID:8140}
recurrent rectal carcinoma,{DOID:7358}
vitreous syneresis,{DOID:11816}
"hodgkin's, lymphocytic-histiocytic predominance of spleen (disorder)",{DOID:8980}
schaaf-yang syndrome,{DOID:0111715}
disorder of arithmetical skills,{DOID:12568}
x-linked sideroblastic anemia,{DOID:0060063}
obsolete fetal or neonatal hemorrhage,{DOID:2027}
epithelioid mpnst,{DOID:8353}
fenneropenaeus indicus allergy,{DOID:0060527}
megaconial type congenital muscular dystrophy,{DOID:0110632}
cellular schwannoma,{DOID:3196}
obsolete prostate basal cell carcinoma,{DOID:6301}
pregnancy and drug dependence,{DOID:8435}
"disease caused by mycoplasma, nos",{DOID:5461}
malignant neoplasm of waldeyer's ring,{DOID:8937}
obsolete chronic otitis media with effusion,{DOID:11182}
cutaneous lymphoma (disorder),{DOID:6761}
diffuse intrinsic pontine glioma,{DOID:0080684}
atmds,{DOID:0112125}
hemophilia,{DOID:2230}
hereditary ataxia,{DOID:0050951}
quincke edema,{DOID:0060002}
atypical chronic myeloid leukemia bcr-abl1 negative,{DOID:0060597}
bartter disease type 2,{DOID:0110143}
bartter disease type 3,{DOID:0110144}
bartter disease type 1,{DOID:0110142}
large intestine adenoma,{DOID:0050914}
caplans syndrome,{DOID:10326}
av block,{DOID:0050820}
bartter disease type 5,{DOID:0110147}
juvenile type granulosa cell tumor,{DOID:6032}
metastatic vulvar carcinoma,{DOID:7043}
double outlet right ventricle,{DOID:6406}
obsolete localized resectable adult primary liver cancer,{DOID:7385}
angiokeratoma,{DOID:479}
distal hereditary motor neuropathy with upper motor neuron signs,{DOID:0060196}
hereditary chorea,{DOID:12859}
blunt duct adenosis of breast,{DOID:8130}
hmsn type iv,{DOID:10582}
mitochondrial dna depletion syndrome 9,{DOID:0080128}
cardiovascular cancer,{DOID:176}
mitochondrial dna depletion syndrome 5,{DOID:0080124}
mitochondrial dna depletion syndrome 7,{DOID:0080126}
mitochondrial dna depletion syndrome 6,{DOID:0080125}
mitochondrial dna depletion syndrome 1,{DOID:0080119}
mitochondrial dna depletion syndrome 3,{DOID:0080121}
mitochondrial dna depletion syndrome 2,{DOID:0080120}
autosomal dominant familial spastic paraplegia 1,{DOID:0110791}
antley-bixler syndrome with disordered steroidogenesis,{DOID:0050462}
liver fibrosarcoma,{DOID:8022}
autosomal recessive nonsyndromic deafness 89,{DOID:0110534}
psychologic vaginismus,{DOID:10131}
neurologic waardenburg-shah syndrome,{DOID:0090111}
nuclear senile cataract,{DOID:13963}
hypogonadotropic hypogonadism 2 with or without anosmia,{DOID:0090083}
hmsn-lom,{DOID:0110186}
exudative cyst of pars plana,{DOID:12879}
obsolete opportunistic nocardiaceae infectious disease,{DOID:0050349}
malaria fever by more than one parasite,{DOID:14325}
human cytomegalovirus infection,{DOID:0080827}
lumbosacral lipoma,{DOID:7017}
autosomal recessive nonsyndromic deafness 85,{DOID:0110531}
neural hearing loss,{DOID:12113}
allergic asthma to tma,{DOID:0040047}
hypopyon,{DOID:10443}
vulvar squamous cell carcinoma,{DOID:2101}
amyloidosis derived from immunoglobulin heavy chain,{DOID:0080934}
